,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
0,BREAK MY SOUL,Beyoncé,2KukL7UlQ8TdvpaA7bY3ZJ,https://open.spotify.com/track/2KukL7UlQ8TdvpaA7bY3ZJ,0.687,0.887,1,-5.04,0,0.0826,2.21e-06,0.27,0.853,114.941,278282,4
1,As It Was,Harry Styles,4LRPiXqCikLlN15c3yImP7,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4
2,About Damn Time,Lizzo,1PckUlxKqWQs3RlWXVBLw3,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0,0.335,0.722,108.966,191822,4
3,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,29d0nY7TzCoi22XBqDQkiP,https://open.spotify.com/track/29d0nY7TzCoi22XBqDQkiP,0.625,0.533,10,-11.903,0,0.0596,0.00266,0.0546,0.139,108.296,300840,4
4,STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,0g2Bbgy7P41pFjMWJuzsf4,https://open.spotify.com/track/0g2Bbgy7P41pFjMWJuzsf4,0.718,0.461,4,-7.676,0,0.0797,0.0,0.283,0.181,129.953,178176,4
5,Bad Habit,Steve Lacy,5CM4UuQ9Gnd6K2YyKGPMoK,https://open.spotify.com/track/5CM4UuQ9Gnd6K2YyKGPMoK,0.686,0.507,1,-7.097,1,0.0357,7.51e-05,0.383,0.69,168.955,232115,4
6,WAIT FOR U (feat. Drake & Tems),Future,59nOXPmaKlBfGMDeOVGrIK,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.0,0.0686,0.339,83.389,189893,4
7,Sunroof,Nicky Youre,4h4QlmocP3IuwYEj2j14p8,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8,0.768,0.714,10,-5.11,1,0.0401,0.0,0.15,0.842,131.443,163026,4
8,First Class,Jack Harlow,1rDQ4oMwGJI7B4tovsBOxc,https://open.spotify.com/track/1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,9.71e-06,0.113,0.324,106.998,173948,4
9,Bad Decisions (with BTS & Snoop Dogg),benny blanco,0xzI1KAr0Yd9tv8jlIk3sn,https://open.spotify.com/track/0xzI1KAr0Yd9tv8jlIk3sn,0.762,0.861,0,-3.296,1,0.0955,0.0,0.264,0.955,120.048,172714,4
