,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
0,Like a Rolling Stone,Bob Dylan,3AhXZa8sUQht0UEdBJgpGc,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0.0,0.189,0.557,95.263,369600,4
1,Smells Like Teen Spirit,Nirvana,3oTlkzk1OtrhH8wBAduVEi,https://open.spotify.com/track/3oTlkzk1OtrhH8wBAduVEi,0.485,0.863,1,-9.027,1,0.0495,0.0162,0.138,0.767,116.835,300977,4
2,A Day In The Life - Remastered,The Beatles,3ZFBeIyP41HhnALjxWy1pR,https://open.spotify.com/track/3ZFBeIyP41HhnALjxWy1pR,0.364,0.457,4,-14.162,0,0.0675,0.000106,0.922,0.175,163.219,337413,4
3,Good Vibrations (Mono),The Beach Boys,5Qt4Cc66g24QWwGP3YYV9y,https://open.spotify.com/track/5Qt4Cc66g24QWwGP3YYV9y,0.398,0.413,1,-10.934,1,0.0388,2.54e-05,0.0891,0.331,133.574,219147,4
4,Johnny B Goode,Chuck Berry,7MH2ZclofPlTrZOkPzZKhK,https://open.spotify.com/track/7MH2ZclofPlTrZOkPzZKhK,0.518,0.756,10,-10.851,1,0.0915,6.2e-05,0.317,0.968,166.429,160893,4
5,Respect,Aretha Franklin,7s25THrKz86DM225dOYwnr,https://open.spotify.com/track/7s25THrKz86DM225dOYwnr,0.805,0.558,0,-5.226,1,0.041,2.2e-05,0.0546,0.965,114.95,147600,4
6,Be My Baby,The Ronettes,2G2YzndIA6jeWFPBXhUjh5,https://open.spotify.com/track/2G2YzndIA6jeWFPBXhUjh5,0.511,0.769,4,-7.032,1,0.042,0.0,0.0921,0.818,129.657,160907,4
7,What's Going On,Marvin Gaye,0UAu4pJ44T9X2AmaUh1hHO,https://open.spotify.com/track/0UAu4pJ44T9X2AmaUh1hHO,0.282,0.716,1,-9.632,0,0.0985,0.0,0.399,0.83,201.958,233000,4
8,I Heard It Through The Grapevine,Marvin Gaye,27m1soUndRthrAA1ediOXn,https://open.spotify.com/track/27m1soUndRthrAA1ediOXn,0.729,0.324,8,-13.017,0,0.0393,0.0,0.101,0.679,116.855,195267,4
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,7fSGbZLhWlAiCC3HDPAULu,https://open.spotify.com/track/7fSGbZLhWlAiCC3HDPAULu,0.725,0.853,2,-7.842,1,0.0353,0.127,0.196,0.904,136.282,222813,4
