,Danceability,Key,Loudness,Speechiness,Instrumentalness,Liveness,Valence,Tempo
0,0.687,1,-5.04,0.0826,2.21e-06,0.27,0.853,114.941
1,0.52,6,-5.338,0.0557,0.00101,0.311,0.662,173.93
2,0.836,10,-6.305,0.0656,0.0,0.335,0.722,108.966
3,0.625,10,-11.903,0.0596,0.00266,0.0546,0.139,108.296
4,0.718,4,-7.676,0.0797,0.0,0.283,0.181,129.953
5,0.686,1,-7.097,0.0357,7.51e-05,0.383,0.69,168.955
6,0.463,1,-4.474,0.34,0.0,0.0686,0.339,83.389
7,0.768,10,-5.11,0.0401,0.0,0.15,0.842,131.443
8,0.905,8,-6.135,0.102,9.71e-06,0.113,0.324,106.998
9,0.762,0,-3.296,0.0955,0.0,0.264,0.955,120.048
10,0.911,1,-5.105,0.0817,2.68e-05,0.0933,0.425,92.005
11,0.714,10,-4.595,0.0468,0.0,0.106,0.901,114.996
12,0.733,5,-6.009,0.0751,0.0,0.121,0.472,100.964
13,0.761,11,-6.9,0.0944,6.7e-06,0.0921,0.531,80.87
14,0.608,1,-4.13,0.0277,6.47e-06,0.0942,0.464,102.025
15,0.65,5,-5.198,0.253,0.000291,0.126,0.187,106.672
16,0.505,11,-5.24,0.0318,0.00107,0.126,0.252,196.0
17,0.731,9,-4.913,0.0336,0.0,0.605,0.644,119.706
18,0.704,0,-5.927,0.0475,0.000745,0.0546,0.825,139.994
19,0.591,1,-5.484,0.0483,0.0,0.103,0.478,169.928
20,0.935,11,-3.838,0.114,0.0,0.349,0.813,106.017
21,0.607,8,-3.449,0.0611,0.0,0.332,0.722,134.944
22,0.529,0,-4.711,0.175,2.41e-06,0.093,0.366,165.921
23,0.44,8,-9.258,0.0531,4.78e-06,0.141,0.268,169.914
24,0.601,2,-5.569,0.0478,2.91e-05,0.415,0.441,153.96
25,0.804,5,-5.453,0.0333,1.18e-06,0.115,0.292,99.968
26,0.742,8,-6.892,0.0769,0.0,0.25,0.638,84.974
27,0.542,8,-6.073,0.0432,0.000136,0.0561,0.702,124.85
28,0.788,2,-2.724,0.0856,0.0,0.0424,0.822,141.02
29,0.602,5,-5.609,0.0465,0.0,0.125,0.53,106.005
30,0.801,8,-7.574,0.255,3.23e-05,0.145,0.74,159.969
31,0.643,4,-5.968,0.297,0.0,0.112,0.145,84.216
32,0.912,8,-6.029,0.162,3.39e-05,0.0894,0.793,91.942
33,0.796,1,-6.312,0.0317,4.19e-05,0.0952,0.942,116.032
34,0.582,1,-7.3,0.0275,0.0,0.105,0.394,121.991
35,0.853,6,-14.63,0.14,0.000217,0.0844,0.0774,137.027
36,0.763,9,-5.748,0.199,0.0,0.123,0.277,160.16
37,0.524,9,-6.055,0.0297,0.0,0.221,0.397,135.962
38,0.646,6,-2.65,0.0269,0.0,0.179,0.865,102.972
39,0.801,7,-8.797,0.0516,1.73e-05,0.0639,0.234,98.047
40,0.87,1,-8.006,0.0541,0.00823,0.11,0.53,111.005
41,0.369,4,-12.151,0.04,8.35e-06,0.0954,0.148,175.212
42,0.545,10,-6.398,0.0998,6.59e-05,0.171,0.464,121.892
43,0.825,2,-6.634,0.144,0.0,0.357,0.106,72.993
44,0.723,1,-6.784,0.0792,1.15e-05,0.367,0.58,102.004
45,0.569,3,-8.032,0.0449,0.0,0.118,0.565,140.181
46,0.773,0,-6.777,0.173,0.0,0.125,0.553,82.055
47,0.881,2,-4.898,0.0324,1.32e-05,0.0901,0.719,101.058
48,0.864,1,-10.068,0.436,0.0,0.374,0.647,157.144
49,0.78,7,-5.668,0.141,9.69e-06,0.0698,0.642,115.042
50,0.365,7,-7.489,0.0304,2.25e-06,0.281,0.329,86.041
51,0.523,4,-6.15,0.0295,5.52e-05,0.0675,0.48,144.022
52,0.878,9,-5.28,0.225,0.0,0.0753,0.523,157.003
53,0.559,7,-4.143,0.0512,0.0,0.193,0.574,163.957
54,0.829,9,-5.389,0.0897,0.000543,0.242,0.471,97.013
55,0.912,0,-4.673,0.0455,0.0127,0.101,0.632,119.966
56,0.869,2,-12.076,0.386,0.0,0.0753,0.178,77.47
57,0.647,3,-5.745,0.0413,1.34e-06,0.528,0.268,79.928
58,0.576,3,-4.649,0.0449,0.0,0.181,0.311,164.998
59,0.564,5,-3.221,0.307,0.0,0.175,0.607,78.293
60,0.529,1,-5.864,0.125,0.0,0.0986,0.528,96.86
61,0.83,10,-5.431,0.407,0.0,0.11,0.227,155.103
62,0.808,5,-6.492,0.34,0.0,0.107,0.599,159.063
63,0.562,6,-7.478,0.0787,0.000145,0.157,0.416,125.15
64,0.479,8,-5.204,0.0312,0.00549,0.121,0.576,110.024
65,0.586,6,-7.639,0.0592,0.0,0.0836,0.517,167.018
66,0.792,2,-5.688,0.276,5.1e-06,0.368,0.22,92.028
67,0.762,0,-6.018,0.36,0.0,0.217,0.503,79.488
68,0.468,9,-4.839,0.0779,0.000373,0.101,0.26,173.799
69,0.773,5,-3.678,0.046,0.0,0.0754,0.571,114.071
70,0.795,11,-3.971,0.0419,0.0,0.658,0.419,114.011
71,0.678,10,-7.317,0.0551,0.0,0.0734,0.614,79.018
72,0.795,3,-4.457,0.0948,0.0,0.0802,0.55,87.925
73,0.66,11,-10.234,0.595,0.0,0.106,0.35,167.912
74,0.661,11,-5.558,0.282,0.0,0.087,0.723,147.983
75,0.611,7,-4.483,0.0288,0.0,0.378,0.596,106.012
76,0.669,0,-5.619,0.153,0.0,0.113,0.377,93.923
77,0.492,10,-4.639,0.0334,0.0,0.12,0.697,161.989
78,0.903,1,-9.151,0.26,0.000106,0.155,0.587,114.991
79,0.494,3,-4.228,0.0409,0.0,0.0921,0.44,75.932
80,0.472,2,-4.563,0.0369,0.0,0.107,0.515,79.805
81,0.79,4,-11.689,0.127,0.0,0.155,0.539,126.877
82,0.607,10,-4.631,0.343,0.0,0.169,0.604,81.486
83,0.479,7,-5.587,0.0539,0.000834,0.278,0.454,142.909
84,0.883,8,-5.748,0.305,0.0,0.128,0.284,124.992
85,0.733,5,-6.415,0.268,0.000499,0.254,0.48,171.038
86,0.819,1,-5.829,0.169,0.0,0.122,0.501,139.957
87,0.718,10,-5.433,0.352,0.0,0.135,0.786,168.079
88,0.821,11,-4.479,0.169,0.0,0.233,0.163,127.961
89,0.645,10,-7.225,0.255,0.0,0.111,0.586,90.636
90,0.529,6,-6.174,0.0278,1.24e-05,0.142,0.514,139.993
91,0.554,5,-8.959,0.186,1.32e-05,0.124,0.136,105.865
92,0.556,7,-8.15,0.102,0.00468,0.155,0.367,149.147
93,0.787,0,-7.094,0.0532,4.55e-05,0.122,0.222,93.05
94,0.663,11,-3.51,0.195,0.0,0.219,0.579,196.12
95,0.71,1,-4.725,0.0726,0.0,0.168,0.316,128.027
