,Songs,Artists
0,Like a Rolling Stone,Bob Dylan
1,Smells Like Teen Spirit,Nirvana
2,A Day In The Life - Remastered,The Beatles
3,Good Vibrations (Mono),The Beach Boys
4,Johnny B Goode,Chuck Berry
5,Respect,Aretha Franklin
6,Be My Baby,The Ronettes
7,What's Going On,Marvin Gaye
8,I Heard It Through The Grapevine,Marvin Gaye
9,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones
10,Billie Jean,Michael Jackson
11,Heartbreak Hotel,Elvis Presley
12,Born to Run,Bruce Springsteen
13,My Generation - Original Mono Version,The Who
14,Love Will Tear Us Apart,Joy Division
15,God Only Knows - Mono / 1997 Remastered,The Beach Boys
16,(Sittin' On) the Dock of the Bay,Otis Redding
17,Hey Ya! - Radio Mix / Club Mix,Outkast
18,Anarchy In The UK - Remastered 2012,Sex Pistols
19,Paper Planes,M.I.A.
20,London Calling,The Clash
21,Sympathy For The Devil,The Rolling Stones
22,Strawberry Fields Forever - Remastered,The Beatles
23,Tutti Frutti,Little Richard
24,Stairway To Heaven,Led Zeppelin
25,The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five
26,What'd I Say,Ray Charles & Friends
27,Imagine - Remastered 2010,John Lennon
28,A Change Is Gonna Come,Sam Cooke
29,Heroes - 1999 Remaster,David Bowie
30,When Doves Cry,Prince
31,Superstition,Stevie Wonder
32,Common People,Pulp
33,Gimme Shelter,The Rolling Stones
34,Strange Fruit,Billie Holiday
35,You Really Got Me,The Kinks
36,Crazy In Love (feat. Jay-Z),Beyoncé
37,Seven Nation Army,The White Stripes
38,Losing My Religion,R.E.M.
39,God Save The Queen,Sex Pistols
40,Bohemian Rhapsody - Remastered 2011,Queen
41,Blue Monday,New Order
42,Purple Haze,Jimi Hendrix
43,Louie Louie,The Kingsmen
44,I Want You Back,The Jackson 5
45,Crazy,Gnarls Barkley
46,You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers
47,Hey Jude - Remastered,The Beatles
48,Waterloo Sunset - Stereo,The Kinks
49,Take Me Out,Franz Ferdinand
50,Get Ur Freak On,Missy Elliott
51,That'll Be the Day,Buddy Holly & The Crickets
52,Light My Fire,The Doors
53,I Feel Love,Donna Summer
54,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths
55,Space Oddity - 2009 Remastered Version,David Bowie
56,Stand by Me,Ben E. King
57,Mr. Tambourine Man,The Byrds
58,Bitter Sweet Symphony,The Verve
59,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets
60,Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos
61,River Deep - Mountain High,Ike & Tina Turner
62,Unfinished Sympathy - 2006 Digital Remaster,Massive Attack
63,Loser,Beck
64,Fight The Power,Public Enemy
65,Once in a Lifetime - 2005 Remaster,Talking Heads
66,Paranoid Android,Radiohead
67,Whole Lotta Love - Remaster,Led Zeppelin
68,Alright,Kendrick Lamar
69,House of the Rising Sun,The Animals
70,Walk on the Wild Side,Lou Reed
71,Hotel California,Eagles
72,99 Problems,JAY-Z
73,Dancing On My Own,Robyn
74,Formation,Beyoncé
75,Let's Stay Together,Al Green
76,Jumpin' Jack Flash,The Rolling Stones
77,All My Friends,LCD Soundsystem
78,California Dreamin',The Mamas & The Papas
79,Blitzkrieg Bop - 2001 Remaster,Ramones
80,Dancing In The Street,Various Artists
81,Hound Dog,Elvis Presley
82,Oblivion,Grimes
83,I Want To Hold Your Hand - Remastered,The Beatles
84,All Along the Watchtower,Jimi Hendrix
85,Nothing Compares 2 U,Sinéad O'Connor
86,How Soon Is Now? - 2011 Remaster,The Smiths
87,Sweet Child O' Mine,Guns N' Roses
88,For What It's Worth,Buffalo Springfield
89,The Weight - Remastered,The Band
90,Runaway,Kanye West
91,Ghost Town - Extended Version,The Specials
92,Royals,Lorde
93,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk
94,Suspicious Minds,Elvis Presley
95,Life On Mars? - 1999 Remastered Version,David Bowie
96,Reach Out I'll Be There - Single Version / Mono,Four Tops
97,That's All Right Mama,Elvis Presley
98,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown
99,Wonderwall,Oasis
100,Heroin,The Velvet Underground
101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
102,Thunder Road,Bruce Springsteen
103,One,U2
104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
105,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
106,Yesterday - Remastered,The Beatles
107,Dancing Queen,ABBA
108,Summertime Blues,Eddie Cochran
109,This Charming Man - 2011 Remaster,The Smiths
110,Blue Suede Shoes,Carl Perkins
111,Good Times,CHIC
112,Pyramids,Frank Ocean
113,My Girl - Single Version/Mono,The Temptations
114,Paint It Black,The Rolling Stones
115,Video Games,Lana Del Rey
116,Rehab,Amy Winehouse
117,Rapper's Delight - Long Version,The Sugarhill Gang
118,The Sound of Silence - Electric Version,Simon & Garfunkel
119,Fortunate Son,Creedence Clearwater Revival
120,Papa's Got A Brand New Bag - Pt. 1,James Brown
121,Bridge over Troubled Water,Simon & Garfunkel
122,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
123,Proud Mary,Creedence Clearwater Revival
124,Every Breath You Take - Remastered 2003,The Police
125,Maybellene - Single Version,Chuck Berry
126,A Whiter Shade Of Pale,Procol Harum
127,Midnight City,M83
128,Losing My Edge,LCD Soundsystem
129,I'm So Lonesome I Could Cry - Single Version,Hank Williams
130,Eight Miles High,The Byrds
131,Born Slippy (Nuxx),Underworld
132,Great Balls Of Fire,Jerry Lee Lewis
133,Green Onions,Booker T. & the M.G.'s
134,Maps,Yeah Yeah Yeahs
135,Umbrella,Rihanna
136,She Loves You - Remastered,The Beatles
137,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
138,Tangled up in Blue,Bob Dylan
139,Maggie May,Rod Stewart
140,Will You Still Love Me Tomorrow,The Shirelles
141,Seasons (Waiting On You),Future Islands
142,Creep,Radiohead
143,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
144,Paranoid,Black Sabbath
145,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
146,Kashmir - 1990 Remaster,Led Zeppelin
147,Walk This Way (feat. Aerosmith),Run–D.M.C.
148,Like a Prayer,Madonna
149,Marquee Moon - 2003 Remaster,Television
150,Hotline Bling,Drake
151,Live Forever,Oasis
152,Time to Pretend,MGMT
153,When a Man Loves a Woman,Percy Sledge
154,Brown Sugar,The Rolling Stones
155,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
156,Tomorrow Never Knows - Remastered,The Beatles
157,This Land is Your Land,Woody Guthrie
158,"Oh, Pretty Woman",Roy Orbison
159,Jailhouse Rock,Elvis Presley
160,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
161,I Bet You Look Good On The Dancefloor,Arctic Monkeys
162,Like a Virgin,Madonna
163,Into the Groove,Madonna
164,Let It Happen,Tame Impala
165,Cranes in the Sky,Solange
166,Song 2 - 2012 Remaster,Blur
